Tuesday 06th of March 2012 05:44:54 AM	 broker_id =1
Tuesday 06th of March 2012 05:45:25 AM	 broker_id =1
Wednesday 07th of March 2012 11:08:47 PM	 broker_id =1
Thursday 08th of March 2012 06:11:53 AM	 broker_id =1
Thursday 08th of March 2012 06:14:33 AM	 broker_id =1
Thursday 08th of March 2012 06:38:22 AM	 broker_id =1
Thursday 08th of March 2012 09:28:08 PM	 broker_id =1
Thursday 08th of March 2012 09:30:43 PM	 broker_id =1
Thursday 08th of March 2012 09:52:37 PM	 broker_id =1
Thursday 08th of March 2012 10:19:01 PM	 broker_id =1
Friday 09th of March 2012 06:09:09 AM	 broker_id =1
Saturday 10th of March 2012 04:14:02 AM	 broker_id =1
Saturday 10th of March 2012 05:09:13 AM	 broker_id =1
Saturday 10th of March 2012 05:10:50 AM	 broker_id =1
Saturday 10th of March 2012 05:54:20 AM	 broker_id =1
Sunday 11th of March 2012 10:01:12 PM	 broker_id =1
Sunday 11th of March 2012 10:56:24 PM	 broker_id =1
Monday 12th of March 2012 12:13:35 AM	 broker_id =1
Monday 12th of March 2012 01:33:12 AM	 broker_id =1
Monday 12th of March 2012 01:34:37 AM	 broker_id =1
Monday 12th of March 2012 01:36:28 AM	 broker_id =1
Monday 12th of March 2012 03:29:25 AM	 broker_id =1
Monday 12th of March 2012 06:00:57 AM	 broker_id =1
Monday 12th of March 2012 07:24:17 AM	 broker_id =1
Tuesday 13th of March 2012 12:02:31 AM	 broker_id =1
Tuesday 13th of March 2012 12:30:07 AM	 broker_id =1
Tuesday 13th of March 2012 01:16:24 AM	 broker_id =1
Tuesday 13th of March 2012 01:26:24 AM	 broker_id =1
Tuesday 13th of March 2012 04:33:22 AM	 broker_id =1
Tuesday 13th of March 2012 05:07:50 AM	 broker_id =1
Tuesday 13th of March 2012 06:04:16 AM	 broker_id =1
Tuesday 13th of March 2012 06:10:44 AM	 broker_id =1
Tuesday 13th of March 2012 08:13:42 AM	 broker_id =1
Tuesday 13th of March 2012 10:44:06 AM	 broker_id =1
Wednesday 14th of March 2012 12:49:46 AM	 broker_id =1
Wednesday 14th of March 2012 12:49:58 AM	 broker_id =1
Wednesday 14th of March 2012 12:53:14 AM	 broker_id =1
Wednesday 14th of March 2012 03:16:12 AM	 broker_id =1
